ZEIT;RAUM;MERKMAL;WERT
31.12.2006;54 Mecklenbeck;Wohnberechtigte Bevölkerung;9277
31.12.2006;56 Albachten;Wohnberechtigte Bevölkerung;5302
31.12.2006;57 Roxel;Wohnberechtigte Bevölkerung;7960
31.12.2006;58 Nienberge;Wohnberechtigte Bevölkerung;6500
31.12.2006;61 Coerde;Wohnberechtigte Bevölkerung;9918
31.12.2006;62 Kinderhaus-Ost;Wohnberechtigte Bevölkerung;5015
31.12.2006;63 Kinderhaus-West;Wohnberechtigte Bevölkerung;10693
31.12.2006;68 Sprakel;Wohnberechtigte Bevölkerung;2840
31.12.2006;71 Mauritz-Ost;Wohnberechtigte Bevölkerung;9816
31.12.2006;76 Gelmer-Dyckburg;Wohnberechtigte Bevölkerung;3413
31.12.2006;77 Handorf;Wohnberechtigte Bevölkerung;7244
31.12.2006;81 Gremmendorf-West;Wohnberechtigte Bevölkerung;4817
31.12.2006;82 Gremmendorf-Ost;Wohnberechtigte Bevölkerung;6183
31.12.2006;86 Angelmodde;Wohnberechtigte Bevölkerung;7551
31.12.2006;87 Wolbeck;Wohnberechtigte Bevölkerung;8629
31.12.2006;91 Berg Fidel;Wohnberechtigte Bevölkerung;5673
31.12.2006;95 Hiltrup-Ost;Wohnberechtigte Bevölkerung;6802
31.12.2006;96 Hiltrup-Mitte;Wohnberechtigte Bevölkerung;9780
31.12.2006;97 Hiltrup-West;Wohnberechtigte Bevölkerung;8885
31.12.2006;98 Amelsbüren;Wohnberechtigte Bevölkerung;5620
31.12.2007;11 Aegidii;Wohnberechtigte Bevölkerung;1335
31.12.2007;12 Überwasser;Wohnberechtigte Bevölkerung;1290
31.12.2007;13 Dom;Wohnberechtigte Bevölkerung;2051
31.12.2007;14 Buddenturm;Wohnberechtigte Bevölkerung;2201
31.12.2007;15 Martini;Wohnberechtigte Bevölkerung;1249
31.12.2007;21 Pluggendorf;Wohnberechtigte Bevölkerung;3793
31.12.2007;22 Josef;Wohnberechtigte Bevölkerung;7863
31.12.2007;23 Bahnhof;Wohnberechtigte Bevölkerung;1006
31.12.2007;24 Hansaplatz;Wohnberechtigte Bevölkerung;6322
31.12.2007;25 Mauritz-West;Wohnberechtigte Bevölkerung;5611
31.12.2007;26 Schlachthof;Wohnberechtigte Bevölkerung;4799
31.12.2007;27 Kreuz;Wohnberechtigte Bevölkerung;11611
31.12.2007;28 Neutor;Wohnberechtigte Bevölkerung;3800
31.12.2007;29 Schloss;Wohnberechtigte Bevölkerung;1884
31.12.2007;31 Aaseestadt;Wohnberechtigte Bevölkerung;5354
31.12.2007;32 Geist;Wohnberechtigte Bevölkerung;8641
31.12.2007;33 Schützenhof;Wohnberechtigte Bevölkerung;6959
31.12.2007;34 Düesberg;Wohnberechtigte Bevölkerung;6632
31.12.2007;43 Hafen;Wohnberechtigte Bevölkerung;906
31.12.2007;44 Herz-Jesu;Wohnberechtigte Bevölkerung;5182
31.12.2007;45 Mauritz-Mitte;Wohnberechtigte Bevölkerung;9735
